City,Country
Reykjavik,Iceland
Rhodos,Greece
Richmond,USA
Riga,Latvia
Rijeka,Croatia
RioDeJaneiro,Brazil
Rivera,Uruguay
Riviere-Pilote,France
Riyadh,SaudiArabia
RoadTown,BritishVirginIslands
RocheCaiman,Seychelles
Rome,Italy
Roodepoort,SouthAfrica
Rosario,Argentina
Roseau,Dominica
Rostock,Germany
Rotterdam,Netherlands
Rouen,France
Rustenburg,SouthAfrica
Safat,Kuwait
Saida,Lebanon
Saint-Denis,France
Saint-Leu-La-For?T,France
Saint-Marc,Haiti
Saint-Martin,France
Saint-Pierre,France
Sainte-Maxime,France
Saitama,Japan
Sal,CapeVerdeIslands
Salalah,Oman
Salamanca,Spain
Salerno,Italy
SaltLakeCity,USA
Salta,Argentina
Salvador,Brazil
Salzburg,Austria
SanAntonio,USA
SanCarlos,CostaRica
SanCristobal,Venezuela
SanDiego,USA
SanFernando,Spain
SanFrancisco,USA
SanIgnacio,Belize
SanJose,CostaRica
SanJose(Crc),CostaRica
SanJose(Usa),USA
SanJuan,Argentina
SanLuisPotosi,Mexico
SanNicolasDeLosGarza,Mexico
SanPedroSula,Honduras
SanSalvador,ElSalvador
Sana'A,Yemen
Sandy,USA
SannoisSaint-Gratien,France
SantaAna,USA
SantaCruz,Bolivia
SantaFe,Argentina
Santander,Spain
SantiagoDeChile,Chile
SantoDomingo,DominicanRepublic
SaoPaulo,Brazil
SaoTome,SaoTomeePrincipe
Sapporo,Japan
Sarajevo,Bosnia-Herzegovina
Scarborough,England
Schwaz,Austria
Seattle,USA
Secunda,SouthAfrica
Sedan,France
Seeb,Oman
Seekirchen,Austria
Segou,Mali
Sekondi,Ghana
Selibe-Phikwe,Botswana
Sendai,Japan
Senlis,France
Seoul,KoreaRepublic
Serravalle,SanMarino
Seville,Spain
Sfax,Tunisia
Shanghai,ChinaPR
Sharjah,UnitedArabEmirates
Shenyang,ChinaPR
Shenzhen,ChinaPR
Shizuoka,Japan
Shkoder,Albania
Shymkent,Kazakhstan
Sibenik,Croatia
Siena,Italy
Sikasso,Mali
Singapore,Singapore
Sinsheim,Germany
Sion,Switzerland
Sittard,Netherlands
Skopje,FYRMacedonia
Smederevo,Yugoslavia
Sochaux,France
Sofia,Bulgaria
Solna,Sweden
Soreang,Indonesia
Sousse,Tunisia
Southampton,England
Split,Croatia
St.Etienne,France
St.Gall,Switzerland
St.George's,Grenada
St.John's,AntiguaandBarbuda
St.Petersburg,Russia
St.VeitAnDerGlan,Austria
Strumica,FYRMacedonia
Stuttgart,Germany
Suez,Egypt
Sulaymaniyah,Iraq
Sunderland,England
Sunrise,USA
Surabaya,Indonesia
Surakarta,Indonesia
Suva,Fiji
Suwon,KoreaRepublic
Suzhou,ChinaPR
Swansea,Wales
Swaziland,Swaziland
Sydney,Australia
Szczecin,Poland
Szekesfehervar,Hungary
Ta'Qali,Malta
Tabriz,Iran
Tacna,Peru
Taipei,ChineseTaipei
Talca,Chile
Tallinn,Estonia
Tamale,Ghana
Tampa,USA
Tampere,Finland
Tanger,Morocco
Tashkent,Uzbekistan
Taunusstein-Wehen,Germany
Tbilisi,Georgia
Tegucigalpa,Honduras
Tehran,Iran
TelAviv,Israel
Temuco,Chile
Teplice,CzechRepublic
Tete,Tete
TheValley,Anguilla
Thessaloniki,Greece
Thimphu,Bhutan
Thonon-Les-Bains,France
Thulamahashe,SouthAfrica
Tianjin,ChinaPR
Timisoara,Romania
Tirana,Albania
Tiraspol,Moldova
Toftir,FaroeIslands
Tokyo,Japan
Toronto,Canada
Torreon,Mexico
Torshavn,FaroeIslands
Tortola,BritishVirginIslands
Tottori,Japan
Toulon,France
Toulouse,France
Tours,France
Toyota,Japan
Trabzon,Turkey
Trieste,Italy
Tripoli,Libya
Tripoli(Lib),Libya
Trnava,Slovakia
Trujillo,Peru
Tshwane/Pretoria,SouthAfrica
Tunis,Tunisia
Turin,Italy
Turku,Finland
Tursunzade,Tajikistan
TuxtlaGutierrez,Mexico
Udine,Italy
UherskeHradiste,CzechRepublic
Ulaan-Baatar,Mongolia
Ulm,Germany
Ulsan,KoreaRepublic
Urziceni,Romania
Utrecht,Netherlands
Vaduz,Liechtenstein
Valence,France
Valencia,Spain
Valga,Estonia
Valladolid,Spain
Valparaiso,Chile
Vancouver,Canada
Vantaa,Finland
Varazdin,Croatia
Veitongo,Tonga
Victoria(Sey),Seychelles
Vienna,Austria
Vientiane,Laos
VieuxFort,St.Lucia
VilaRealSt.Antonio,Portugal
Villach,Austria
Villarreal,Spain
Vilnius,Lithuania
VinaDelMar,Chile
Vinkovci,Croatia
Viry-Chatillon,France
Viseu,Portugal
Vittel,France
Volgograd,Russia
Volos,Greece
Voronezh,Russia
Wakayama,Japan
Warri,Nigeria
Warsaw,Poland
WashingtonDc,USA
Watford,England
Wattens,Austria
Wellington,NewZealand
WestBromwich,England
WestPalmBeach,USA
Wiesbaden,Germany
Willemstad,NetherlandsAntilles
Windhoek,Namibia
Winterthur,Switzerland
Witbank,SouthAfrica
Wolfsburg,Germany
Wolverhampton,England
Wrexham,Wales
Wroclaw,Poland
Wronki,Poland
Wuhan,ChinaPR
Yangon,Myanmar
Yaounde,Cameroon
Yerevan,Armenia
Yokohama,Japan
Zagreb,Croatia
Zalaegerszeg,Hungary
Zaragoza,Spain
Zarqa,Jordan
Zawyan,Libya
ZellAmSee,Austria
Zenica,Bosnia-Herzegovina
Zheijang,ChinaPR
Zhengzhou,ChinaPR
Zhongshan,ChinaPR
Zhuhai,ChinaPR
Zilina,Slovakia
Zurich,Switzerland
