z,a,V
11.3961,0.5062,206.5484
13.8654,0.6363,384.2779
14.9658,0.5034,354.2210
18.6715,0.6310,691.1400
20.3129,0.5130,664.9757
10.0619,0.6297,200.2935
14.0258,0.5093,314.7574
14.8564,0.6304,437.1216
17.2212,0.5027,468.3347
20.0733,0.6543,828.2314
10.1868,0.5287,172.3564
14.4074,0.6370,415.4040
15.7042,0.5168,400.3919
17.9646,0.6488,657.7837
20.7792,0.4906,665.4369
11.1651,0.6084,238.2513
14.2197,0.5210,330.9654
15.6094,0.6355,486.4386
17.6647,0.4921,482.4602
20.7796,0.6426,871.6846
9.7282,0.5160,153.4403
13.8433,0.6558,394.8284
14.9109,0.5056,353.1694
17.5660,0.6327,613.3173
21.0836,0.4955,691.9148
10.0816,0.6066,193.6749
13.8067,0.5002,299.5458
15.6366,0.6475,497.3757
17.6591,0.4961,486.0462
20.4431,0.6376,837.0629
10.3720,0.4917,166.1838
13.6377,0.6509,380.3299
15.1042,0.5221,374.1551
18.5172,0.6255,673.8211
20.3727,0.4964,647.2483
10.5083,0.6456,223.9860
14.4598,0.5197,341.3581
15.4616,0.6450,484.4419
17.8283,0.5083,507.5457
20.8125,0.6384,868.7765
9.6765,0.5131,150.9609
14.4339,0.6303,412.5195
14.4313,0.5295,346.4256
17.2945,0.6247,587.0320
20.1557,0.4999,637.9814
10.1272,0.6353,204.6916
13.3435,0.5089,284.6599
15.5384,0.6231,472.6060
17.7507,0.4939,488.9406
19.8988,0.6269,779.8601
9.7022,0.5039,149.0131
13.6008,0.6347,368.8670
14.9186,0.4937,345.1984
17.7314,0.6272,619.5279
20.2992,0.5028,650.8602
9.9348,0.6233,193.2567
13.9375,0.5189,316.6926
14.9911,0.6407,452.3202
17.8479,0.5042,504.5320
20.9150,0.6524,896.5990
10.4908,0.5208,180.0582
13.8128,0.6335,379.7025
15.2959,0.5193,381.6917
17.7187,0.6326,623.9291
20.1559,0.5028,641.6602
10.0395,0.6257,198.1191
14.3970,0.5227,340.3573
15.0304,0.6520,462.7432
17.8531,0.5198,520.4908
20.5567,0.6335,840.9918
9.7631,0.5228,156.5732
13.3913,0.6338,357.1021
15.5358,0.5103,386.9634
17.9282,0.6346,640.8435
20.1150,0.5032,639.6261
10.5940,0.6381,224.9591
14.0917,0.5109,318.6780
15.0835,0.6238,445.8898
17.6106,0.5097,496.5866
20.1273,0.6641,845.1269
9.7400,0.5135,153.0282
15.0187,0.6511,461.4056
14.3675,0.5112,331.5008
17.8849,0.6308,633.8650
20.3222,0.5057,656.1511
9.6680,0.6194,181.8616
13.9141,0.4995,303.7814
15.3897,0.6442,479.3309
18.1740,0.5143,533.6396
20.3633,0.6331,824.7014
10.3832,0.5385,182.3839
14.6424,0.6544,440.7418
15.1982,0.5077,368.4199
17.5601,0.6335,613.6632
19.7716,0.5154,632.9317
10.4859,0.6292,217.3220
13.7747,0.5200,309.9352
15.7859,0.6376,499.1903
17.8077,0.5135,511.5466
20.2684,0.6219,802.5896
9.9439,0.5097,158.3276
13.7723,0.6386,380.5596
14.7559,0.4930,337.2246
18.0100,0.6217,633.5004
20.1590,0.4957,632.8775
10.4052,0.6431,218.7215
13.3219,0.5159,287.6168
15.3721,0.6154,456.8240
17.4295,0.5094,486.1185
19.7203,0.6171,753.9780
10.0699,0.5082,161.9000
14.2060,0.6394,405.3784
15.6355,0.4863,373.5111
18.2526,0.6496,679.9310
20.1750,0.5073,648.6147
9.7924,0.6217,187.3063
15.1323,0.5348,384.7152
15.0294,0.6561,465.5803
17.5100,0.5122,493.3918
20.5018,0.6328,835.6514
9.7486,0.5189,154.9258
13.7147,0.6447,381.0003
14.6556,0.4813,324.7798
17.7036,0.6249,615.3341
19.8892,0.4921,611.5930
10.3088,0.6293,210.0946
14.0421,0.5202,322.2371
14.9650,0.6185,435.1306
17.6332,0.5031,491.4620
20.1015,0.6424,815.4982
10.2246,0.4749,155.9798
13.7194,0.6514,385.1369
15.3437,0.4849,358.6485
17.4557,0.6337,606.6223
20.5443,0.5054,670.1396
10.0968,0.6365,203.8653
13.1872,0.5155,281.6420
15.3129,0.6179,455.2050
18.1412,0.5215,539.1943
20.8032,0.6346,862.8300
10.2476,0.5099,168.2128
14.5349,0.6219,412.7671
15.5042,0.5075,383.2144
18.5842,0.6388,693.1276
20.4215,0.5092,667.1187
10.3432,0.6402,215.1721
14.1365,0.4945,310.4567
15.4529,0.6102,457.7819
18.0976,0.5070,521.6500
20.7269,0.6227,840.4518
9.7837,0.5068,152.4102
13.4761,0.6390,364.5577
15.7499,0.4921,383.4890
18.1489,0.6153,636.7199
19.9971,0.4974,624.8615
10.1412,0.6254,202.0458
14.6758,0.5055,342.0691
14.7989,0.6319,434.7431
17.9056,0.5192,522.9365
19.7917,0.6334,779.4142
10.2261,0.5161,169.5509
14.0875,0.6321,394.0668
15.1705,0.4936,356.8927
18.1398,0.6428,664.4793
20.2680,0.4999,645.1672
10.6131,0.6175,218.5303
14.3885,0.5132,333.8221
15.1348,0.6415,461.6647
17.8794,0.5130,515.2478
20.4004,0.6268,819.4835
10.5291,0.5082,176.9930
14.4451,0.6263,410.5687
15.5431,0.5093,386.5222
17.7906,0.6300,626.4037
19.9816,0.5156,646.6721
9.6700,0.6328,185.8817
14.3899,0.5027,327.0178
16.0022,0.6372,512.6136
17.8835,0.4938,496.1499
20.2940,0.6326,818.4585
10.5174,0.4951,172.0464
13.3292,0.6291,351.1815
15.1411,0.5199,374.4460
17.0180,0.6375,580.0625
20.4833,0.5031,663.1336
10.1712,0.6393,207.7702
14.0955,0.5112,319.0685
15.0769,0.6305,450.2747
17.0690,0.4941,452.2663
20.6993,0.6547,881.3125
9.9107,0.5086,156.9321
14.0386,0.6531,404.3663
15.6029,0.5075,388.1355
17.9987,0.6486,660.0963
20.0048,0.5145,646.8940
10.0610,0.6349,201.9201
13.8877,0.4904,297.1240
15.6182,0.6269,480.3992
18.2708,0.5041,528.7037
19.9151,0.6458,804.6734
9.7726,0.5180,155.4386
14.0199,0.6380,393.9857
15.2395,0.5072,370.0138
17.8568,0.6407,641.7700
19.9200,0.5020,625.8093
9.6488,0.6463,189.0249
13.9399,0.5001,305.2745
15.7118,0.6188,479.8707
18.0216,0.5066,516.8730
20.2749,0.6186,798.8526
10.0139,0.5114,161.1122
13.5420,0.6488,373.7636
15.5835,0.4926,375.7896
18.1064,0.6165,634.9309
20.2568,0.5053,651.3996
10.3080,0.6341,211.6469
14.0741,0.5208,324.1100
15.5940,0.6385,487.8000
18.4064,0.5127,545.6930
19.6487,0.6265,759.8128
10.0428,0.5078,160.9050
13.9393,0.6467,394.7308
14.7530,0.5157,352.5905
17.6693,0.6321,619.9821
20.6302,0.5045,674.5318
9.8710,0.6614,202.4627
13.1685,0.5122,279.0240
14.8511,0.6282,435.2438
17.8897,0.5032,505.9796
20.0293,0.6369,802.6414
10.5215,0.5230,181.8959
13.7572,0.6319,375.7481
15.3283,0.5098,376.2967
17.5525,0.6537,632.7016
20.5610,0.5199,690.4433
9.5347,0.6298,179.8936
14.5961,0.4978,333.1944
15.1566,0.6486,468.1095
17.7274,0.5077,501.2610
19.7763,0.6338,778.6752
10.1594,0.4929,159.8316
13.9432,0.6058,370.0041
14.7803,0.4983,341.9823
18.0075,0.6506,662.7650
21.0874,0.5026,702.0648
10.6141,0.6256,221.4373
13.9460,0.5041,308.0031
15.4527,0.6427,482.1432
17.8617,0.4995,500.5956
20.4804,0.6087,802.1530
9.3728,0.5000,138.0074
13.6243,0.6472,377.4452
15.1316,0.5227,375.9783
18.0218,0.6477,660.8939
20.4592,0.5131,674.7800
10.1211,0.6370,205.0065
13.1464,0.4963,269.4647
14.6965,0.6428,436.1647
18.2906,0.4996,525.0461
20.3725,0.6402,834.7601
10.1666,0.4929,160.0706
13.8414,0.6337,381.4081
16.3478,0.5218,438.1162
17.5190,0.6316,608.9819
20.2659,0.5125,661.2418
10.3647,0.6343,214.0773
14.4747,0.5034,331.3257
15.1902,0.6378,462.3310
18.1487,0.5025,519.9156
20.6995,0.6413,863.2349
10.2599,0.5003,165.4485
13.4690,0.6261,356.8583
15.5465,0.5033,382.1260
17.8197,0.6457,644.1564
20.9115,0.5134,705.2688
9.8401,0.6450,196.2370
13.9687,0.5319,326.0574
15.0481,0.6310,448.9276
17.0789,0.5020,459.9918
19.9200,0.6444,803.3135
9.4141,0.5060,140.8748
14.6148,0.6415,430.4460
15.3322,0.5161,381.1553
18.0090,0.6441,656.2731
20.3986,0.5066,662.2867
10.5868,0.6565,231.1511
14.5475,0.5065,336.7390
15.0857,0.6184,442.1518
17.4129,0.5011,477.2866
20.7414,0.6437,869.9555
11.0162,0.5234,199.5636
13.8864,0.6311,382.3096
14.9508,0.5270,370.0851
17.9071,0.6366,641.2725
19.9612,0.5022,628.6409
9.8637,0.6462,197.5182
14.2278,0.5041,320.6106
15.1564,0.6217,448.6573
17.9809,0.4761,483.5467
20.1286,0.6431,818.5918
10.3832,0.5140,174.0828
14.1007,0.6241,389.8711
15.4374,0.4948,370.4577
18.2273,0.6105,637.2099
20.6526,0.4988,668.3708
9.5733,0.6287,180.9937
14.6650,0.5181,350.0160
14.7668,0.6332,433.7987
17.1082,0.5310,488.2869
20.6845,0.6276,843.5696
9.8626,0.4957,151.5069
13.2482,0.6322,348.5708
15.2236,0.5100,371.3247
18.4805,0.6368,683.2661
20.6611,0.5098,683.7319
10.4241,0.6397,218.3915
13.5632,0.5144,297.2599
14.9330,0.6314,442.2822
18.1313,0.4962,512.4472
20.8251,0.6360,866.5744
10.5841,0.5205,183.2081
14.1819,0.6588,416.2749
14.8515,0.5064,350.9214
17.7095,0.6200,610.8963
20.7892,0.4902,665.6304
10.6981,0.6272,225.5297
14.1237,0.4938,309.4402
15.2833,0.6313,463.2591
17.9135,0.4930,496.9587
20.1420,0.6396,815.2440
10.4891,0.5260,181.7946
14.0595,0.6483,402.5994
15.4232,0.5096,380.8442
17.7273,0.6392,631.0744
20.4455,0.5054,663.7957
9.9283,0.6228,192.8471
14.5874,0.4941,330.3226
15.1379,0.6275,451.7787
18.0534,0.5106,522.7823
19.5815,0.6159,741.8947
10.5432,0.5037,175.9124
13.8346,0.6371,383.0964
15.4807,0.5125,385.8650
17.6219,0.6418,626.0730
20.5843,0.5316,707.6748
9.9613,0.6286,195.9567
13.8103,0.5141,308.0529
14.8764,0.6173,429.1702
17.2118,0.5183,482.3890
20.4857,0.6294,829.7536
10.5855,0.5165,181.8017
14.0340,0.6653,411.6523
14.9929,0.4989,352.3126
17.3467,0.6313,596.7464
19.9509,0.5274,659.4849
10.8410,0.6507,240.2517
14.0112,0.5128,316.2911
14.8314,0.6304,435.6419
17.3565,0.4993,472.5835
20.0392,0.6238,786.9799
10.0801,0.4990,159.2639
14.7464,0.6381,435.9113
15.2594,0.5111,373.9225
17.3081,0.6533,614.8520
20.0461,0.5085,641.9872
9.7871,0.6408,192.8434
14.4874,0.5004,329.9292
16.0135,0.6368,512.9876
18.3742,0.4943,524.2906
20.1925,0.6429,823.5545
10.6266,0.4918,174.4879
13.9567,0.6364,389.4506
15.1939,0.5193,376.6507
17.3699,0.6393,605.9858
20.2293,0.5145,661.4621
9.8663,0.6297,192.5821
13.8851,0.4784,289.7697
15.0010,0.6297,445.1645
17.6558,0.5124,501.7453
19.7213,0.6181,755.2036
10.3658,0.4990,168.4503
13.4867,0.6532,373.2361
15.3718,0.5068,376.1963
17.5462,0.6358,614.9347
20.0015,0.4915,617.6750
9.4577,0.6345,178.3048
13.8571,0.5184,312.7394
15.5908,0.6156,470.0634
18.4210,0.5036,536.8867
20.5280,0.6315,836.0835
9.6795,0.5122,150.7721
13.8904,0.6498,393.8935
15.6617,0.5269,405.9670
17.9744,0.6407,650.3426
20.0861,0.5250,665.4692
10.2498,0.6282,207.3506
14.3154,0.5052,325.2422
15.0963,0.6226,445.7443
17.4979,0.5326,512.2926
20.0160,0.6145,773.3927
10.3586,0.5131,172.9728
14.1602,0.6308,397.3410
15.0571,0.5129,365.3495
17.2065,0.6176,574.4435
20.3632,0.4884,636.1818
10.0595,0.6383,202.9225
14.0022,0.5297,326.2701
15.7816,0.6403,501.0295
17.8964,0.5150,518.1607
20.0048,0.6270,788.2731
10.9759,0.5117,193.6573
13.7152,0.6282,371.2100
15.0536,0.5005,356.3351
17.9906,0.6250,635.5536
19.8007,0.5042,620.9932
10.2133,0.6445,211.1875
13.9550,0.5325,325.8001
16.0238,0.6380,514.6551
18.2556,0.5063,530.0441
20.4704,0.6194,815.3961
9.7469,0.5169,154.2601
14.1678,0.6415,404.5388
15.1045,0.4984,357.1825
17.5800,0.6443,625.6214
19.6134,0.5226,631.5962
9.2896,0.6296,170.6593
14.1019,0.5078,317.2093
15.4111,0.6515,486.0754
17.6364,0.5051,493.5429
20.5613,0.6412,851.6766
10.2804,0.5036,167.2303
13.4431,0.6350,360.4873
14.7732,0.4857,332.9939
18.2274,0.6236,650.8418
20.4941,0.5074,669.5625
10.0391,0.6269,198.4940
13.5726,0.4872,281.9153
15.3383,0.6417,474.2834
17.8733,0.5027,504.5390
19.6162,0.6433,777.6272
10.5183,0.4972,172.8346
13.9932,0.6104,375.4800
15.3671,0.5246,389.2109
17.2780,0.6305,591.3050
20.9459,0.5073,699.2563
10.4777,0.6276,216.4538
13.6561,0.5040,295.2714
15.1624,0.6501,469.5376
17.5459,0.5201,502.9823
20.4782,0.6271,826.2127
10.4667,0.5132,176.6249
14.1101,0.6307,394.4890
15.4198,0.5050,377.1942
17.9836,0.6297,639.7472
19.9094,0.5023,625.5038
10.4309,0.6542,223.6092
13.6387,0.5063,295.8634
15.4738,0.6435,484.0227
17.3641,0.5103,483.3328
20.7380,0.6420,867.4091
10.3197,0.5091,170.3307
14.2711,0.6307,403.5260
14.9835,0.5069,357.5017
18.0782,0.6582,675.8023
20.0340,0.5098,642.8561
10.0182,0.6279,197.9964
13.8671,0.5046,304.8246
15.4343,0.6545,489.8174
18.2663,0.4948,518.7196
20.2310,0.6333,814.3339
10.0815,0.4994,159.4459
14.0872,0.6173,384.8867
14.9844,0.5152,363.4173
18.3329,0.6419,677.7777
20.7207,0.5164,696.4622
10.5181,0.6442,223.8947
13.7938,0.5026,300.4603
14.6380,0.6388,430.0199
17.4514,0.4921,470.8071
20.4817,0.6112,805.5008
9.9176,0.5061,156.3878
14.0881,0.6514,406.2032
14.9836,0.4920,347.0039
17.8567,0.6297,630.8110
20.2491,0.5261,677.6575
10.3096,0.6584,219.8487
13.3367,0.5248,293.2723
15.7406,0.6424,500.0589
17.7046,0.5033,495.5872
20.4661,0.6417,844.4385
10.8665,0.5014,186.0104
13.9742,0.6472,397.0595
15.6756,0.5103,393.8934
17.6554,0.6248,611.8510
20.7099,0.5092,686.1443
10.3368,0.6448,216.4507
13.9733,0.5255,322.3518
15.1320,0.6193,445.5203
17.9905,0.4997,508.1396
19.9640,0.6387,799.6949
9.8123,0.5168,156.3336
14.3426,0.6380,412.3150
15.4901,0.5039,379.8377
17.9957,0.6752,686.9715
20.1721,0.4888,624.8850
10.1641,0.6540,212.2297
13.4141,0.5063,286.1780
14.7441,0.6214,424.4164
17.9375,0.5036,509.0513
19.9122,0.6468,805.7048
10.2120,0.5177,169.6116
13.3779,0.6136,344.9909
15.0704,0.5169,368.8428
17.4233,0.6397,610.0860
20.5314,0.5196,688.0841
10.1636,0.6535,212.0648
14.0735,0.4811,299.3835
14.8045,0.6492,447.0192
17.3284,0.5001,471.7691
19.8420,0.6267,775.1466
10.5669,0.4983,174.8113
14.1991,0.6374,403.7342
15.3114,0.5041,371.2988
17.4802,0.6391,613.4433
19.9112,0.4994,622.0401
10.5367,0.6534,227.9058
14.1588,0.5099,321.1076
14.8228,0.6226,429.7607
18.4065,0.5103,543.1417
19.6497,0.6337,768.7043
10.2837,0.5199,172.7024
14.2265,0.6275,398.9808
15.2983,0.5182,381.0008
17.4134,0.6405,610.1752
20.4163,0.5276,690.9410
10.0795,0.6343,202.4474
14.0467,0.5230,324.2296
15.1203,0.6326,454.3703
17.9752,0.5179,525.6920
20.1294,0.6213,790.8472
9.6663,0.5029,147.6255
14.3157,0.6355,409.1378
15.6112,0.5147,394.0507
18.0989,0.6259,644.0944
19.7111,0.5029,613.9043
10.3279,0.6220,208.4358
13.5576,0.5376,310.4325
15.5794,0.6266,477.7801
18.1394,0.5058,522.8062
20.7054,0.6159,829.5347
10.8507,0.4962,183.5241
13.4278,0.6355,359.9813
15.3871,0.4989,371.0645
18.3797,0.6385,677.6427
20.3321,0.5200,675.3541
10.1704,0.6305,204.9103
13.7036,0.5206,307.1187
15.6615,0.6477,499.0698
17.8810,0.5274,529.8113
20.7805,0.6417,870.5840
9.7677,0.5085,152.4159
13.6543,0.6569,384.7542
15.2560,0.5159,377.2124
17.8536,0.6341,634.9829
19.9595,0.5033,629.9018
10.3004,0.6326,210.8649
13.8643,0.5052,305.0820
15.7233,0.6263,486.4276
17.8010,0.5076,505.3615
20.4200,0.6416,840.4295
9.8199,0.5069,153.5572
13.3335,0.6236,348.2855
14.3567,0.5013,324.5865
18.5435,0.6406,691.9852
20.5463,0.5163,684.7692
10.7246,0.6434,232.4803
13.9142,0.4991,303.5719
14.6465,0.6296,424.2726
17.3476,0.4942,467.2410
19.8709,0.6307,782.3907
9.2463,0.4966,133.3593
14.2305,0.6221,395.8018
14.8784,0.5161,358.9107
17.8929,0.6131,616.6986
20.3751,0.5050,658.6730
9.9063,0.6420,197.8956
14.4522,0.5079,333.2846
15.3584,0.6375,472.3894
17.1982,0.5117,475.4862
20.2868,0.6682,863.9430
10.2727,0.5012,166.1790
13.7793,0.6415,382.6589
15.3672,0.4951,367.3172
18.2638,0.6459,676.9084
20.4886,0.5161,680.5843
10.5793,0.6459,227.1039
14.7001,0.5036,341.8652
15.8720,0.6303,498.8459
17.9135,0.5178,521.9783
20.9396,0.6406,882.3703
9.5762,0.5251,151.2639
13.9849,0.6442,395.8386
15.4797,0.5371,404.3152
17.9094,0.6514,656.3392
20.2167,0.4932,633.2895
9.3594,0.6186,170.2298
13.9839,0.5027,308.8676
14.7651,0.6209,425.2270
17.5450,0.5049,488.2716
20.6359,0.6477,866.4757
9.8370,0.5215,158.5373
14.2904,0.6277,402.7235
14.9481,0.5227,366.9144
18.5196,0.6415,691.1914
20.7182,0.5065,683.0012
9.7366,0.6439,191.7773
14.2515,0.5232,333.8028
16.1025,0.6315,514.4347
16.7734,0.5077,448.7838
20.1349,0.6369,811.2093
9.6734,0.5040,148.1454
14.0984,0.6403,399.8203
15.5741,0.5135,391.2659
17.8542,0.6490,649.9287
20.3228,0.5090,660.4080
10.2861,0.6266,208.2726
13.5657,0.5071,293.1568
14.8555,0.6339,439.4666
18.0751,0.5031,516.3934
20.1148,0.6635,843.3798
10.7331,0.5041,182.4721
14.3556,0.6357,411.5503
14.8755,0.5008,348.1552
17.9208,0.6349,640.6019
20.5959,0.5039,671.5486
10.2339,0.6358,209.1946
13.7464,0.5108,303.2354
15.6352,0.6318,485.1984
18.9613,0.5112,577.3869
20.3469,0.6646,864.3823
10.3582,0.5213,175.6818
14.5845,0.6437,430.1344
15.0664,0.4977,354.9536
17.4570,0.6425,615.1555
20.3796,0.5204,679.0755
9.3350,0.6100,166.9909
13.6471,0.5110,298.9496
14.8962,0.6640,462.8725
18.1668,0.4973,515.6406
20.1251,0.6229,792.6210
9.8169,0.5228,158.2832
13.7751,0.6181,368.4540
15.0287,0.5029,356.8466
18.2468,0.6390,668.3333
20.1833,0.5042,645.3030
9.7881,0.6338,190.7872
14.2449,0.5091,324.5430
15.3919,0.6294,468.4514
18.0715,0.5078,521.0111
20.0922,0.6228,789.8452
9.6409,0.4853,141.6931
14.0738,0.6469,402.5703
15.2191,0.4865,353.9965
17.7600,0.6292,623.4496
20.1404,0.5258,670.0833
10.2947,0.6101,203.1521
14.0057,0.5095,314.0261
15.1706,0.6459,467.0483
17.6438,0.5277,516.0862
19.3967,0.6342,749.5416
10.6269,0.5053,179.2768
14.2593,0.6126,391.3029
15.2176,0.5109,371.6956
18.6588,0.6262,684.9513
20.7834,0.4996,677.9387
9.9570,0.6386,198.8787
13.3656,0.5063,284.1150
14.8301,0.6283,434.1052
17.3415,0.4945,467.2088
20.5194,0.6361,841.4443
10.1916,0.4984,162.6302
14.5280,0.6264,415.3400
14.7873,0.5123,351.8886
17.8940,0.6491,652.9659
20.3973,0.5040,658.7157
10.0048,0.6368,200.2434
13.4936,0.5027,287.5731
15.6333,0.6351,487.6629
18.5514,0.4971,537.4255
20.6561,0.6251,837.9353
10.4150,0.5037,171.6399
13.5108,0.6504,373.0148
15.4716,0.4995,375.6396
18.3502,0.6298,666.2748
20.6529,0.5235,701.4990
10.2168,0.6237,204.4997
13.8604,0.5145,310.5025
15.4621,0.6260,470.1587
17.3940,0.5073,482.2322
19.7910,0.6374,784.3415
9.5166,0.5151,146.5785
13.8578,0.6330,381.9142
14.9191,0.5007,350.0898
18.2370,0.6326,660.9691
20.2558,0.5210,671.5354
10.4762,0.6560,226.2088
13.1227,0.5116,276.7631
15.0019,0.6473,457.6808
17.4169,0.4989,475.4213
20.6246,0.6382,852.7969
10.3475,0.5206,175.1136
15.0678,0.6359,453.5962
15.9942,0.5038,404.8690
18.3398,0.6215,656.7348
20.1636,0.5272,673.4276
9.1289,0.6373,166.8609
14.1941,0.5166,326.9758
15.2148,0.6534,475.1781
17.6716,0.5062,496.6068
20.9635,0.6260,864.2583
8.9999,0.5072,129.0601
13.7789,0.6166,367.7773
14.4522,0.4973,326.3148
17.2962,0.6367,598.3948
20.4746,0.5060,666.4246
10.5406,0.6537,228.1520
13.8567,0.5165,311.5660
14.9228,0.6368,445.5231
18.4067,0.5128,545.8330
20.4973,0.6385,842.7538
10.5136,0.5109,177.3932
14.3918,0.6346,412.9140
15.7496,0.4981,388.1704
18.7577,0.6435,711.3472
20.6059,0.5107,681.2120
10.4290,0.6226,212.7351
14.1103,0.5001,312.7995
15.4668,0.6318,474.8236
17.7724,0.4979,494.0995
20.3233,0.6373,826.9834
10.2530,0.5090,168.0882
13.1053,0.6236,336.4779
15.6997,0.5283,409.0488
18.0460,0.6130,627.1332
20.4392,0.5029,659.9834
10.4724,0.6442,221.9499
13.7626,0.5264,313.2478
14.8726,0.6234,433.2319
18.0090,0.5013,510.7526
20.7584,0.6547,886.2451
10.3788,0.5118,173.2061
13.8569,0.6245,376.7285
14.6601,0.5111,345.1138
18.1307,0.6176,637.8002
20.5438,0.4908,650.6983
10.6781,0.6414,229.7883
14.1712,0.4878,307.7445
15.0953,0.6308,451.5601
17.9621,0.5212,528.2855
20.4078,0.6248,817.5730
9.6196,0.5334,155.0580
13.8203,0.6478,388.6935
15.0012,0.4901,346.4991
17.5855,0.6458,627.4360
20.2172,0.4917,631.4018
9.8050,0.6225,188.0285
14.0630,0.5291,328.7665
15.3657,0.6461,479.2717
17.6194,0.5303,517.2331
20.1633,0.6488,828.6704
10.8676,0.5110,189.6005
14.5045,0.6519,430.8841
14.8291,0.4893,338.0153
18.0104,0.6407,652.9124
20.1385,0.5032,641.1632
10.0158,0.6357,200.3168
13.6854,0.5203,306.1431
14.6757,0.6526,441.5860
18.2324,0.5026,524.8882
19.5865,0.6246,752.7577
10.1133,0.5057,162.4816
14.0558,0.6430,399.0908
14.6097,0.5064,339.5694
18.1009,0.6340,652.5696
20.3942,0.5161,674.3323
10.0911,0.6275,200.7354
13.7742,0.5179,308.7199
15.1276,0.6425,461.9706
18.0247,0.5053,515.7758
19.6046,0.6547,790.5645
10.3353,0.4878,163.7156
13.4258,0.6511,368.6984
15.1993,0.5077,368.4562
18.2033,0.6210,646.5049
20.7145,0.5114,689.3199
9.8215,0.6220,188.5012
14.0866,0.5344,333.1313
14.7543,0.6419,438.9813
17.7530,0.4871,482.2986
20.8031,0.6267,852.0968
9.4518,0.5079,142.5269
14.6323,0.6298,423.6637
15.5162,0.5136,388.4792
17.2756,0.6136,575.3290
20.9964,0.5192,719.1502
10.4070,0.6173,210.0348
14.3129,0.4959,319.1413
15.3554,0.6267,464.2087
17.7632,0.5360,531.3249
20.7623,0.6302,853.4554
9.7242,0.5228,155.3080
13.3211,0.6239,347.7806
15.1650,0.5069,366.2214
17.7626,0.6523,646.5691
19.9396,0.5022,627.2605
10.2462,0.6437,212.2935
14.2354,0.5170,329.1527
15.6069,0.6405,490.1143
18.2794,0.4973,522.0719
20.2570,0.6314,814.0007
9.9827,0.5146,161.1190
13.9165,0.6309,383.8359
15.0825,0.5035,359.8153
17.7476,0.6564,649.5696
20.7069,0.5159,695.0133
10.1263,0.6388,205.7847
13.9690,0.4977,305.1175
14.6989,0.6410,435.1135
17.4304,0.4895,467.2199
21.0641,0.6435,896.9727
9.9880,0.5152,161.4564
13.1162,0.6371,344.3414
15.1470,0.5252,378.5476
17.3151,0.6263,589.9026
20.0401,0.5280,666.1540
10.3333,0.6347,212.9119
14.5032,0.5024,331.9831
15.6901,0.6530,505.0363
17.1347,0.4874,449.5353
20.9871,0.6222,861.0181
9.5285,0.5072,144.6729
14.6239,0.6495,436.3556
14.9012,0.5139,358.5192
17.6840,0.6401,628.9219
21.3410,0.5033,720.0804
10.3970,0.6001,203.8056
14.6835,0.4902,332.0389
15.3424,0.6358,470.1954
18.7094,0.5080,558.6615
20.4131,0.6475,847.6532
10.0303,0.5138,162.3960
13.1589,0.6440,350.2857
15.7461,0.5125,399.1672
17.9701,0.6311,640.2527
20.2258,0.5131,659.3971
10.8066,0.6420,235.5332
14.6253,0.5035,338.3560
